eta,U,a,s,y,ke,eph,coul,E,Einf,dE
0.00022704451583391026,0.0006168383679665784,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0006163819218593675,-0.0006166983181979757,0.0005130488105314035
0.00022704451583391026,0.0007580187502384012,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0007575302420910376,-0.0007578466462382603,0.00041750418609526216
0.00022704451583391026,0.0009315121360027327,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0009309842275377676,-0.0009313006412808206,0.00033975467107782834
0.00022704451583391026,0.0011447142425533316,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.001144137915927211,-0.001144454341462363,0.00027648594066907267
0.00022704451583391026,0.0014067134999737711,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.001406077673362056,-0.0014063941133882526,0.0002250009603882047
0.00022704451583391026,0.0017286784748956803,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0017279695300944007,-0.001728285987928315,0.00018310501625588445
0.00022704451583391026,0.0021243339668122713,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0021235351687178897,-0.0021238516484353067,0.00014901215800557224
0.00022704451583391026,0.002610546072093995,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.002609636855315435,-0.0026099533619249942,0.00012126906717051589
0.00022704451583391026,0.0032080411559542855,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0032069962481465508,-0.0032073127878032566,9.869310467926509e-05
0.00022704451583391026,0.003942289380873242,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.003941077725421886,-0.003941394305689484,8.032189703554283e-05
0.00022704451583391026,0.004844590454738973,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.004843173886871355,-0.0048434905170447635,6.53723120328608e-05
0.00022704451583391026,0.005953407882236496,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00595173950212478,-0.005952056193626312,5.320707520717182e-05
0.00022704451583391026,0.00731600859626953,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.007314030769773675,-0.0073143475366399535,4.330760395118784e-05
0.00022704451583391026,0.008990477864013325,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.00898811976583926,-0.008988436625319575,3.52519012508455e-05
0.00022704451583391026,0.011048195359492682,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.011045369954034833,-0.011045686927326449,2.869656669624909e-05
0.00022704451583391026,0.013576877953295699,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.013573478284462504,-0.013573795397614257,2.3362157927399332e-05
0.00022704451583391026,0.016684318928186587,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.0166802135600508,-0.016680530845073517,1.9021278499096458e-05
0.00022704451583391026,0.020502983016789482,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.020498010430706214,-0.020498327926937284,1.548888437151862e-05
0.00022704451583391026,0.025195653139702213,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.02518961484905374,-0.02518993260483399,1.2614395807854748e-05
0.00022704451583391026,0.0309623695545348,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.030955021643595843,-0.03095533971833022,1.027527842600972e-05
0.00022704451583391026,0.0380489572195672,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.03803999994580739,-0.0380403184124973,8.37181977434414e-06
0.00022704451583391026,0.04675750487851208,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.04674656989510013,-0.04674688884345534,6.822878764853014e-06
0.00022704451583391026,0.057459242571298766,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.05744587722512615,-0.057446196765388986,5.5624267719254285e-06
0.00022704451583391026,0.0706103665164695,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.07059401455234615,-0.07059433481999092,4.53673294864542e-06
0.00022704451583391026,0.08677148595203744,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.08675146380051328,-0.08675178496202128,3.702073774500323e-06
0.00022704451583391026,0.10663152091936053,1.0,8,1.0,3.1636222159436473e-07,1.0002436063569364,0.0002436063569363037,-0.1066069885573644,-0.10660731081732076,3.0228691999487198e-06
