eta,U,a,s,y,E,Einf,Ebind
0.017627119,1.006005025,1,148.4131591,1.000019973,-0.988054287,-0.988127975,7.45731E-05
0.018983051,1.006005025,1,148.4131591,1.000021361,-0.986683538,-0.986763892,8.14321E-05
0.020338983,1.006005025,1,148.4131591,1.000022749,-0.985312789,-0.98539981,8.83101E-05
0.021694915,1.006005025,1,148.4131591,1.000024137,-0.98394204,-0.984035728,9.52071E-05
0.023050847,1.006005025,1,148.4131591,1.000025524,-0.982571291,-0.982671645,0.000102123
0.02440678,1.006005025,1,148.4131591,1.000026901,-0.981200542,-0.981307563,0.000109059
0.025762712,1.006005025,1,148.4131591,1.000028289,-0.979829794,-0.97994348,0.000116013
0.027118644,1.006005025,1,148.4131591,1.000029677,-0.978459045,-0.978579398,0.000122988
0.028474576,1.006005025,1,148.4131591,1.000031065,-0.977088296,-0.977215315,0.000129981
0.029830508,1.006005025,1,148.4131591,1.000032452,-0.975717547,-0.975851233,0.000136994
0.031186441,1.006005025,1,148.4131591,1.00003384,-0.974346798,-0.97448715,0.000144027
0.032542373,1.006005025,1,148.4131591,1.000035228,-0.972976049,-0.973123068,0.000151079
0.033898305,1.006005025,1,148.4131591,1.000036605,-0.9716053,-0.971758986,0.000158152
0.035254237,1.006005025,1,148.4131591,1.000037993,-0.970234551,-0.970394903,0.000165244
0.036610169,1.006005025,1,148.4131591,1.00003938,-0.968863803,-0.969030821,0.000172356
0.037966102,1.006005025,1,148.4131591,1.000040768,-0.967493054,-0.967666738,0.000179488
0.039322034,1.006005025,1,148.4131591,1.000042156,-0.966122305,-0.966302656,0.00018664
0.040677966,1.006005025,1,148.4131591,1.000043544,-0.964751556,-0.964938573,0.000193813
0.042033898,1.006005025,1,148.4131591,1.000044932,-0.963380807,-0.963574491,0.000201006
0.043389831,1.006005025,1,148.4131591,1.000046308,-0.962010058,-0.962210408,0.000208219
0.044745763,1.006005025,1,148.4131591,2.718281828,-0.960740436,-0.960846326,0.000110205
0.046101695,1.006005025,1,148.4131591,2.718281828,-0.959372906,-0.959482244,0.000113955
0.047457627,1.006005025,1,148.4131591,2.718281828,-0.958005375,-0.958118161,0.000117716
0.048813559,1.006005025,1,148.4131591,2.718281828,-0.956637845,-0.956754079,0.000121487
0.050169492,1.006005025,1,148.4131591,2.718281828,-0.955270315,-0.955389996,0.000125269
0.051525424,1.006005025,1,148.4131591,2.718281828,-0.953902785,-0.954025914,0.000129062
0.052881356,1.006005025,1,148.4131591,2.718281828,-0.952535255,-0.952661831,0.000132866
0.054237288,1.006005025,1,148.4131591,2.718281828,-0.951167725,-0.951297749,0.00013668
0.05559322,1.006005025,1,148.4131591,2.718281828,-0.949800195,-0.949933666,0.000140506
0.056949153,1.006005025,1,148.4131591,2.718281828,-0.948432665,-0.948569584,0.000144342
0.058305085,1.006005025,1,148.4131591,2.718281828,-0.947065135,-0.947205502,0.00014819
0.059661017,1.006005025,1,148.4131591,2.718281828,-0.945697605,-0.945841419,0.000152049
0.061016949,1.006005025,1,148.4131591,2.718281828,-0.944330075,-0.944477337,0.000155918
0.062372881,1.006005025,1,148.4131591,2.718281828,-0.942962545,-0.943113254,0.000159799
0.063728814,1.006005025,1,148.4131591,2.718281828,-0.941595015,-0.941749172,0.000163692
0.065084746,1.006005025,1,148.4131591,2.718281828,-0.940227485,-0.940385089,0.000167595
0.066440678,1.006005025,1,148.4131591,2.718281828,-0.938859955,-0.939021007,0.00017151
0.06779661,1.006005025,1,148.4131591,2.718281828,-0.937492425,-0.937656924,0.000175437
0.069152542,1.006005025,1,148.4131591,2.718281828,-0.936124895,-0.936292842,0.000179374
0.070508475,1.006005025,1,148.4131591,2.718281828,-0.934757365,-0.934928759,0.000183324
0.071864407,1.006005025,1,148.4131591,2.718281828,-0.933389835,-0.933564677,0.000187284
0.073220339,1.006005025,1,148.4131591,2.718281828,-0.932022305,-0.932200595,0.000191257
0.074576271,1.006005025,1,148.4131591,2.718281828,-0.930654775,-0.930836512,0.000195241
0.075932203,1.006005025,1,148.4131591,2.718281828,-0.929287245,-0.92947243,0.000199237
0.077288136,1.006005025,1,148.4131591,2.718281828,-0.927919715,-0.928108347,0.000203244
0.078644068,1.006005025,1,148.4131591,2.718281828,-0.926552185,-0.926744265,0.000207263
0.08,1.006005025,1,148.4131591,2.718281828,-0.925184655,-0.925380182,0.000211294
0,1.257256281,1,148.4131591,1,-1.25712528,-1.25711036,-1.18681E-05
0.001355932,1.257256281,1,148.4131591,1,-1.255412184,-1.255405596,-5.24768E-06
0.002711864,1.257256281,1,148.4131591,1,-1.253699088,-1.253700832,1.39072E-06
0.004067797,1.257256281,1,148.4131591,1,-1.251985993,-1.251996068,8.04719E-06
0.005423729,1.257256281,1,148.4131591,1,-1.250272897,-1.250291304,1.47218E-05
0.006779661,1.257256281,1,148.4131591,1.000010636,-1.248559802,-1.24858654,2.14146E-05
0.008135593,1.257256281,1,148.4131591,1.000012368,-1.246846706,-1.246881776,2.81257E-05
0.009491525,1.257256281,1,148.4131591,1.0000141,-1.245133611,-1.245177012,3.48552E-05
0.010847458,1.257256281,1,148.4131591,1.000015854,-1.243420515,-1.243472248,4.16031E-05
0.01220339,1.257256281,1,148.4131591,1.000017564,-1.24170742,-1.241767484,4.83696E-05
